Label,Mean
1,0.000
2,0.114
3,0.011
4,0.024
5,0.000
6,0.031
7,0.083
8,0.021
9,0.591
10,0.000
11,0.000
12,0.015
13,0.206
14,0.000
15,0.000
16,0.975
17,0.624
18,0.493
19,0.000
20,0.030
21,2.047
22,0.270
23,2.604
24,0.260
25,0.000
26,4.398
27,0.910
28,8.305
29,0.020
30,11.392
31,1.727
32,1.121
33,0.945
34,0.015
35,3.479
36,1.539
37,0.404
38,2.087
39,16.436
40,2.644
41,2.208
42,1.942
43,1.314
44,10.682
45,5.092
46,2.322
47,15.336
48,16.325
49,0.648
50,1.743
51,0.956
52,2.932
53,0.189
54,0.000
55,7.538
56,1.640
57,4.238
58,3.168
59,0.042
60,0.008
61,1.760
62,0.012
63,16.495
64,8.032
65,20.642
66,0.482
67,2.875
68,4.425
69,26.161
70,14.467
71,0.000
72,0.056
73,0.037
74,1.479
75,19.903
76,1.524
77,6.397
78,2.287
79,1.079
80,1.732
81,4.472
82,0.013
83,12.168
84,10.904
85,5.297
86,4.611
87,1.531
88,6.777
89,1.859
90,0.333
91,14.693
92,3.477
93,0.394
94,7.119
95,0.062
96,0.123
97,0.000
98,10.209
99,5.424
100,0.778
101,0.017
102,1.497
103,10.813
104,0.837
105,1.377
106,20.387
107,17.216
108,22.217
109,7.270
110,0.963
111,24.324
112,0.248
113,11.140
114,5.482
115,0.258
116,5.525
117,0.062
118,0.132
119,4.963
120,4.366
121,18.873
122,2.205
123,0.295
124,0.006
125,0.260
126,9.994
127,13.440
128,9.417
129,0.154
130,10.181
131,2.451
132,12.130
133,1.729
134,11.175
135,2.262
136,6.892
137,4.009
138,7.866
139,7.937
140,5.619
141,36.408
142,41.278
143,1.058
144,10.797
145,17.426
146,0.165
147,2.431
148,17.213
149,1.042
150,11.313
151,5.238
152,1.145
153,0.051
154,14.211
155,27.546
156,18.093
157,15.452
158,1.502
159,2.935
160,4.745
161,4.145
162,0.369
163,8.229
164,21.898
165,0.258
166,0.007
167,0.421
168,16.405
169,6.805
170,0.662
171,0.000
172,9.807
173,8.986
174,16.691
175,0.468
176,0.052
177,7.633
178,0.478
179,10.300
180,2.982
181,0.097
182,36.143
183,0.932
184,1.164
185,12.914
186,1.489
187,0.241
188,10.864
189,19.388
190,9.707
191,6.816
192,8.289
193,22.053
194,24.785
195,19.288
196,0.717
197,1.762
198,2.502
199,0.078
200,0.568
201,18.096
202,4.752
203,10.846
204,1.333
205,0.159
206,17.742
207,17.690
208,28.479
209,1.477
210,0.037
211,7.795
212,0.708
213,4.511
214,16.859
215,14.277
216,0.151
217,21.370
218,6.266
219,6.788
220,0.077
221,13.322
222,18.093
223,10.325
224,0.057
225,0.000
226,0.006
227,20.800
228,10.265
229,5.660
230,0.065
231,2.659
232,13.715
233,21.405
234,0.242
235,22.129
236,1.504
237,4.143
238,25.678
239,5.683
240,0.000
241,3.063
242,24.038
243,1.955
244,0.010
245,7.074
246,3.600
247,0.042
248,14.379
249,16.866
250,3.862
251,6.119
252,1.706
253,2.433
254,26.364
255,0.688
256,14.709
257,9.783
258,6.475
259,1.733
260,14.292
261,0.619
262,1.248
263,2.089
264,20.013
265,40.821
266,0.581
267,4.840
268,0.512
269,8.418
270,24.956
271,1.942
272,0.204
273,6.145
274,2.362
275,0.007
276,20.046
277,2.950
278,2.606
279,26.226
280,0.385
281,1.591
282,11.618
283,4.722
284,14.621
285,8.785
286,11.147
287,8.609
288,2.873
289,10.940
290,22.104
291,11.823
292,0.800
293,0.536
294,0.175
295,0.257
296,25.524
297,6.119
298,0.158
299,2.311
300,5.173
301,19.682
302,0.231
303,7.325
304,2.578
305,0.374
306,0.815
307,0.037
308,1.779
309,14.199
310,0.050
311,1.098
312,19.059
313,18.860
314,16.720
315,1.935
316,0.686
317,13.730
318,1.803
319,23.104
320,3.525
321,7.720
322,11.658
323,0.720
324,8.565
325,134.503
326,4.216
327,0.530
328,23.067
329,57.850
330,2.171
331,1.181
332,0.593
333,3.744
334,0.650
335,11.938
336,15.073
337,0.394
338,16.037
339,12.931
340,1.676
341,1.852
342,9.225
343,13.929
344,16.956
345,2.257
346,14.531
347,5.369
348,0.000
349,32.345
350,10.962
351,15.594
352,4.287
353,3.959
354,5.992
355,0.479
356,0.213
357,1.714
358,0.610
359,1.641
360,3.343
361,36.103
362,70.655
363,0.743
364,5.552
365,1.770
366,2.173
367,3.957
368,0.381
369,2.352
370,0.739
371,13.612
372,153.918
373,20.420
374,1.156
375,8.569
376,12.074
377,18.700
378,0.008
379,0.977
380,29.460
381,146.590
382,21.381
383,9.617
384,15.395
385,9.384
386,2.039
387,7.697
388,23.711
389,11.855
390,16.797
391,11.523
392,8.598
393,6.586
394,0.877
395,17.042
396,1.271
397,6.860
398,88.625
399,11.067
400,3.248
401,7.304
402,15.994
403,15.370
404,80.263
405,14.622
406,3.069
407,0.310
408,1.278
409,23.222
410,24.779
411,20.603
412,0.291
413,21.724
414,3.139
415,67.772
416,7.053
417,0.317
418,60.667
419,1.513
420,0.072
421,5.806
422,16.182
423,8.685
424,69.905
425,23.374
426,30.019
427,3.785
428,10.778
429,2.018
430,82.904
431,4.577
432,1.018
433,5.118
434,59.946
435,0.347
436,23.938
437,9.765
438,2.235
439,0.650
440,83.329
441,39.207
442,8.482
443,6.387
444,0.683
445,4.258
446,0.879
447,30.933
448,22.347
449,1.974
450,1.592
451,16.672
452,0.823
453,0.120
454,28.663
455,3.004
456,26.491
457,59.921
458,0.905
459,15.833
460,1.547
461,2.890
462,107.448
463,3.065
464,0.417
465,12.807
466,2.092
