Label,Mean
1,2.264
2,0.762
3,0.000
4,0.714
5,0.714
6,0.514
7,0.226
8,0.854
9,0.000
10,0.000
11,0.982
12,0.654
13,1.387
14,3.651
15,0.000
16,0.370
17,1.005
18,0.133
19,2.754
20,0.736
21,0.465
22,0.176
23,0.102
24,2.140
25,2.460
26,0.810
27,3.655
28,0.518
29,1.156
30,0.000
31,2.775
32,0.000
33,2.590
34,23.466
35,0.000
36,2.360
37,9.675
38,2.199
39,0.218
40,0.000
41,0.728
42,1.007
43,0.966
44,0.514
45,1.898
46,6.734
47,2.812
48,0.118
49,1.022
50,0.396
51,0.526
52,1.912
53,4.065
54,0.000
55,1.362
56,1.555
57,0.185
58,1.180
59,10.194
60,9.085
61,7.491
62,1.382
63,0.969
64,0.106
65,3.947
66,0.402
67,1.090
68,0.214
69,0.000
70,0.692
71,2.710
72,1.827
73,3.915
74,0.139
75,1.558
76,3.081
77,0.591
78,6.471
79,0.066
80,0.461
81,0.820
82,1.753
83,0.241
84,0.435
85,0.433
86,2.613
87,1.229
88,0.400
89,0.733
90,0.444
91,0.551
92,2.682
93,1.417
94,2.491
95,2.097
96,11.006
97,0.374
98,2.485
99,0.280
100,3.374
101,4.535
102,1.899
103,0.000
104,0.830
105,0.220
106,0.697
107,0.515
108,0.712
109,105.301
110,2.503
111,2.235
112,1.277
113,1.548
114,1.113
115,0.655
116,0.000
117,0.502
118,0.237
119,2.967
120,0.000
121,0.000
122,0.373
123,2.972
124,1.104
125,0.062
126,2.000
127,0.933
128,1.265
129,0.302
130,0.229
131,8.703
132,0.602
133,44.244
134,0.364
135,4.466
136,1.972
137,1.419
138,0.077
139,0.235
140,0.000
141,1.336
142,3.434
143,0.036
144,0.208
145,128.413
146,0.876
147,8.938
148,0.000
149,2.696
150,0.000
151,2.279
152,4.656
153,2.382
154,0.181
155,0.195
156,0.069
157,4.564
158,2.000
159,1.407
160,0.304
161,2.673
162,0.499
163,0.500
164,1.180
165,1.255
166,2.500
167,0.056
168,0.935
169,2.534
170,3.800
171,0.046
172,0.035
173,0.246
174,3.598
175,0.360
176,0.699
177,0.035
178,5.425
179,22.619
180,0.000
181,0.522
182,0.088
183,1.768
184,0.909
185,0.000
186,0.025
187,0.407
188,0.000
189,0.321
190,0.278
191,157.142
192,0.000
193,0.251
194,0.000
195,0.385
196,1.534
197,0.872
198,0.305
199,0.304
200,4.674
201,0.115
202,0.293
203,1.173
204,0.198
205,1.542
206,0.000
207,0.000
208,0.125
209,1.899
210,3.430
211,3.892
212,5.621
213,39.598
214,0.409
215,1.398
216,0.195
217,0.606
218,0.085
219,0.328
220,0.488
221,3.304
222,0.248
223,0.228
224,0.274
225,168.024
226,0.629
227,0.182
228,0.000
229,3.937
230,0.316
231,2.795
232,0.461
233,0.055
234,1.872
235,0.190
236,2.409
237,0.060
238,0.000
239,0.000
240,1.012
241,0.316
242,0.000
243,0.640
244,0.609
245,0.626
246,0.000
247,1.000
248,0.000
249,1.022
250,0.138
251,0.075
252,0.276
253,2.177
254,0.266
255,4.382
256,0.720
257,2.739
258,0.335
259,0.391
260,0.334
261,1.201
262,2.119
263,1.034
264,0.378
265,0.176
266,5.224
267,7.850
268,1.032
269,0.578
270,0.436
271,0.677
272,0.043
273,0.575
274,0.053
275,0.067
276,1.971
277,1.025
278,2.468
279,0.101
280,1.440
281,0.341
282,0.000
283,0.468
284,0.000
285,0.301
286,0.341
287,0.182
288,6.815
289,0.157
290,0.951
291,3.303
292,4.368
293,0.232
294,0.719
295,0.806
296,0.107
297,1.311
298,2.074
299,3.465
300,4.041
301,0.193
302,11.543
303,0.244
304,1.365
305,0.137
306,0.311
307,0.239
308,0.353
309,0.316
310,0.024
311,1.447
312,0.265
313,0.000
314,0.000
315,0.030
316,1.074
317,0.798
318,4.614
319,0.000
320,11.893
321,0.554
322,1.213
323,3.488
324,6.430
325,0.570
326,1.797
327,2.042
328,0.087
329,0.916
330,0.135
331,22.528
332,0.877
333,10.956
334,1.182
335,0.000
336,6.339
337,0.619
338,0.221
339,0.083
340,8.612
341,1.355
342,0.073
343,0.941
344,0.194
345,2.027
346,0.193
347,0.129
348,0.000
349,0.000
350,0.238
351,0.145
352,0.227
353,1.595
354,10.326
355,4.893
356,0.378
357,0.000
358,0.306
359,2.013
360,0.160
361,0.460
362,1.381
363,0.022
364,1.609
365,3.964
366,0.468
367,6.697
368,3.488
369,1.696
370,1.850
371,0.000
372,0.848
373,0.107
374,0.056
375,1.105
376,0.071
377,0.065
378,10.305
379,3.727
380,0.069
381,0.198
382,0.250
383,0.191
384,0.295
385,0.785
386,3.665
387,0.641
388,0.370
389,0.000
390,0.676
391,0.360
392,0.000
393,0.962
394,0.632
395,4.201
396,4.857
397,1.201
398,0.294
399,1.453
400,0.000
401,4.920
402,0.000
403,0.043
404,0.078
405,0.906
406,1.127
407,1.470
408,17.908
409,0.657
410,0.553
411,0.000
412,3.759
413,0.077
414,0.274
415,1.533
416,0.000
417,0.278
418,0.000
419,0.080
420,7.257
421,1.853
422,2.144
423,0.689
424,0.000
425,0.117
426,0.329
427,0.000
428,0.370
429,0.102
430,0.565
431,0.000
432,0.915
433,0.050
434,2.921
435,16.740
436,0.000
437,0.000
438,4.571
439,0.715
440,1.364
441,0.323
442,0.273
443,1.625
444,0.022
445,14.837
446,1.183
447,0.000
448,0.659
449,0.408
450,2.304
451,0.130
452,26.298
453,3.043
454,0.131
455,0.000
456,0.687
457,0.263
458,3.268
459,0.115
460,1.599
461,0.381
462,0.516
463,0.012
464,0.053
465,1.205
466,0.544
467,0.051
468,15.560
469,0.534
470,0.060
471,0.984
472,1.623
473,0.283
474,0.216
475,0.159
476,0.289
477,1.467
478,3.168
479,0.694
480,0.386
481,0.170
482,0.273
483,0.000
484,0.373
485,2.746
486,0.414
487,1.631
488,0.843
489,1.831
490,0.367
491,0.043
492,0.368
493,0.149
494,1.030
495,0.310
496,0.547
497,0.890
498,0.217
499,0.132
500,3.065
501,30.971
502,0.190
503,25.057
504,5.701
505,0.609
506,7.538
507,1.576
508,0.000
509,1.135
510,2.234
511,0.093
512,0.069
513,1.588
514,0.171
515,2.128
516,0.102
517,0.334
518,0.347
519,2.469
520,17.499
521,9.223
522,0.599
523,0.389
524,3.290
525,0.223
526,0.000
527,5.000
528,8.593
529,4.412
530,1.047
531,0.617
532,0.000
533,0.139
534,0.109
535,0.000
536,0.000
537,0.353
538,5.685
539,0.031
540,0.327
541,0.460
542,0.247
543,0.060
544,0.000
545,48.237
546,0.237
547,0.208
548,0.475
549,0.000
550,0.188
551,0.394
552,0.086
553,0.143
554,2.788
555,1.623
556,29.699
557,1.138
558,0.275
559,4.060
560,0.651
561,11.136
562,0.033
563,0.000
564,0.296
565,0.701
566,0.000
567,0.000
568,0.562
569,18.860
570,1.779
571,3.050
572,0.202
573,0.527
574,0.558
575,0.000
576,0.242
577,0.741
578,6.190
579,0.231
580,6.722
581,1.730
582,0.000
583,0.792
584,0.237
585,0.208
586,0.436
587,0.025
588,0.000
589,3.333
590,0.000
591,0.026
592,0.884
593,0.452
594,0.000
595,0.000
596,0.884
597,0.330
598,0.029
599,0.109
600,0.000
601,0.000
602,0.000
603,0.419
604,0.786
605,0.303
606,0.988
607,5.254
608,34.858
609,105.416
610,3.435
611,16.843
612,10.560
613,0.041
614,2.732
615,0.545
616,0.000
617,6.120
618,0.000
619,3.131
620,0.000
621,1.387
622,0.075
623,0.041
624,0.126
625,2.800
626,0.918
627,6.976
628,19.042
629,5.000
630,1.778
631,4.563
632,0.414
633,0.410
634,0.047
635,0.000
636,0.078
637,0.182
638,2.007
639,0.101
640,0.126
641,0.051
642,0.000
643,14.937
644,1.366
645,1.143
646,0.265
647,0.242
648,0.000
649,0.000
650,0.000
651,0.231
652,0.000
653,1.316
654,0.000
655,0.189
656,0.191
657,3.942
658,68.344
659,87.393
660,0.000
661,0.022
662,3.468
663,0.321
664,0.479
665,0.000
666,0.117
667,0.000
668,1.350
669,0.096
670,0.372
671,0.000
672,0.000
673,0.417
674,1.235
675,6.796
676,0.565
677,0.000
678,0.052
679,0.321
680,1.523
681,0.456
682,0.025
683,0.624
684,0.389
685,1.608
686,5.011
687,0.198
688,0.969
689,0.206
690,1.501
691,0.000
692,0.000
693,22.402
694,36.693
695,31.938
696,0.000
697,0.159
698,34.782
699,13.346
700,2.252
701,0.029
702,0.732
703,0.000
704,0.000
705,0.280
706,2.022
707,5.205
708,2.377
709,0.000
710,0.032
711,0.093
712,1.662
713,0.000
714,0.051
715,0.000
716,0.308
717,0.094
718,0.074
719,1.239
720,0.000
721,197.843
722,0.122
723,2.973
724,0.214
725,0.299
726,1.046
727,0.318
728,3.426
729,4.263
730,2.246
731,0.331
732,0.795
733,0.102
734,0.940
735,0.133
736,2.117
737,1.279
738,3.828
739,0.520
740,0.397
741,0.852
742,0.174
743,0.000
744,0.000
745,2.469
746,4.436
747,0.240
