Label,Mean
1,0.632
2,2.314
3,7.125
4,1.845
5,1.107
6,2.574
7,3.637
8,3.473
9,1.692
10,0.306
11,8.714
12,10.146
13,2.567
14,3.818
15,1.342
16,0.247
17,3.549
18,0.627
19,5.592
20,5.251
21,0.140
22,2.170
23,0.223
24,3.819
25,1.056
26,0.081
27,0.097
28,1.445
29,4.415
30,1.961
31,3.075
32,1.397
33,1.624
34,15.456
35,2.510
36,5.742
37,3.491
38,3.315
39,0.078
40,0.180
41,1.060
42,8.917
43,4.196
44,0.186
45,2.109
46,14.945
47,1.747
48,1.635
49,5.737
50,0.020
51,0.687
52,1.000
53,6.492
54,1.073
55,2.441
56,1.598
57,0.231
58,8.227
59,9.454
60,6.803
61,5.293
62,1.179
63,0.051
64,0.082
65,1.334
66,3.824
67,0.756
68,15.679
69,4.818
70,0.083
71,1.355
72,2.249
73,6.593
74,1.806
75,1.349
76,1.124
77,0.401
78,7.566
79,1.375
80,2.051
81,0.537
82,6.562
83,0.110
84,0.448
85,0.530
86,1.487
87,2.306
88,0.433
89,10.034
90,7.267
91,0.429
92,3.821
93,15.866
94,1.366
95,4.806
96,14.747
97,1.027
98,4.170
99,0.356
100,2.599
101,14.430
102,6.909
103,0.000
104,0.228
105,0.242
106,0.081
107,0.309
108,2.040
109,1.815
110,0.137
111,4.178
112,5.748
113,12.148
114,10.926
115,1.912
116,0.036
117,0.571
118,20.451
119,1.085
120,0.019
121,0.027
122,0.376
123,1.022
124,0.636
125,31.486
126,0.978
127,0.000
128,1.244
129,19.856
130,1.601
131,0.414
132,0.157
133,0.060
134,2.354
135,51.568
136,0.436
137,1.111
138,0.046
139,0.278
140,0.000
141,0.315
142,0.172
143,1.615
144,0.660
145,0.194
146,4.655
147,4.014
148,0.415
149,24.429
150,0.017
151,1.609
152,6.897
153,17.657
154,0.117
155,0.000
156,0.392
157,0.131
158,3.293
159,0.996
160,1.977
161,1.559
162,3.411
163,0.000
164,3.496
165,3.587
166,1.419
167,0.449
168,0.000
169,24.874
170,5.083
171,9.162
172,0.000
173,0.000
174,18.321
175,0.299
176,4.120
177,0.276
178,10.525
179,1.377
180,1.111
181,11.406
182,10.093
183,4.473
184,6.218
185,0.125
186,5.400
187,14.376
188,0.027
189,0.464
190,0.687
191,4.030
192,0.017
193,11.324
194,0.017
195,1.506
196,2.646
197,3.443
198,1.634
199,7.904
200,23.291
201,0.350
202,40.951
203,3.148
204,2.040
205,12.925
206,0.207
207,0.000
208,0.000
209,43.951
210,17.405
211,2.065
212,7.927
213,1.387
214,1.673
215,1.751
216,36.917
217,1.246
218,0.505
219,12.026
220,2.585
221,0.126
222,0.186
223,0.358
224,3.915
225,0.085
226,39.966
227,0.268
228,1.296
229,5.000
230,1.287
231,0.017
232,1.201
233,0.559
234,0.791
235,37.053
236,9.207
237,1.018
238,0.000
239,0.971
240,13.905
241,43.647
242,0.000
243,0.333
244,16.536
245,0.636
246,0.784
247,24.454
248,0.116
249,4.411
250,3.183
251,43.836
252,3.077
253,34.402
254,1.666
255,3.644
256,3.490
257,0.184
258,2.014
259,45.888
260,3.249
261,1.111
262,3.215
263,1.310
264,0.422
265,0.311
266,4.465
267,2.950
268,26.798
269,0.585
270,0.535
271,0.850
272,0.383
273,0.789
274,0.473
275,1.000
276,0.793
277,0.870
278,11.727
279,0.081
280,7.340
281,0.000
282,0.489
283,1.773
284,0.000
285,0.231
286,0.440
287,0.200
288,36.250
289,0.028
290,1.030
291,2.613
292,17.532
293,10.159
294,62.632
295,41.912
296,0.808
297,0.854
298,4.913
299,9.264
300,2.374
