Label,Mean
1,0.019
2,0.381
3,0.068
4,0.155
5,0.012
6,0.423
7,0.411
8,0.096
9,0.035
10,0.380
11,0.000
12,0.354
13,0.000
14,6.115
15,0.003
16,0.037
17,0.072
18,0.067
19,0.167
20,0.216
21,0.081
22,0.053
23,0.005
24,0.284
25,9.048
26,0.130
27,1.207
28,2.774
29,0.476
30,0.074
31,0.052
32,0.185
33,0.052
34,39.864
35,0.835
36,4.045
37,0.912
38,1.224
39,0.003
40,0.010
41,0.194
42,2.615
43,0.287
44,0.042
45,1.063
46,6.508
47,0.637
48,0.108
49,1.360
50,0.000
51,0.119
52,0.060
53,1.968
54,1.371
55,0.032
56,0.287
57,0.000
58,10.031
59,112.157
60,51.261
61,1.704
62,1.911
63,0.015
64,0.032
65,0.155
66,0.206
67,0.436
68,0.017
69,0.329
70,0.083
71,2.766
72,6.208
73,0.878
74,0.750
75,0.326
76,0.014
77,0.021
78,2.154
79,0.020
80,0.556
81,0.057
82,1.149
83,0.100
84,0.283
85,0.000
86,1.019
87,0.051
88,0.400
89,2.751
90,44.867
91,0.008
92,0.985
93,15.205
94,0.053
95,8.793
96,3.221
97,5.112
98,0.010
99,0.016
100,33.644
101,36.314
102,6.018
103,0.092
104,0.087
105,0.027
106,0.000
107,0.005
108,0.294
109,0.165
110,0.139
111,1.359
112,1.330
113,0.101
114,0.100
115,0.457
116,0.092
117,22.564
118,23.290
119,17.207
120,0.016
121,0.000
122,0.022
123,1.394
124,3.760
125,0.319
126,0.028
127,0.027
128,1.296
129,4.675
130,24.968
131,0.006
132,0.000
133,0.063
134,0.056
135,19.592
136,0.016
137,0.124
138,0.188
139,0.027
140,0.012
141,0.000
142,0.005
143,0.480
144,0.003
145,0.190
146,16.253
147,0.715
148,0.011
149,28.188
150,0.006
151,0.364
152,0.542
153,72.374
154,0.000
155,0.000
156,0.021
157,0.075
158,7.010
159,0.162
160,0.190
161,0.007
162,0.170
163,0.004
164,0.126
165,0.686
166,8.696
167,4.483
168,0.032
169,0.000
170,0.298
171,49.764
172,0.035
173,0.803
174,0.319
175,0.000
176,11.867
177,0.120
178,75.720
179,0.746
180,0.046
181,60.822
182,2.077
183,0.032
184,0.097
185,0.006
186,0.002
187,48.641
188,0.000
189,0.271
190,0.076
191,0.124
192,0.009
193,0.606
194,0.000
195,1.449
196,0.511
197,7.030
198,0.042
199,5.296
200,160.679
201,0.031
202,0.016
203,0.506
204,0.210
205,0.323
206,0.254
207,0.000
208,0.000
209,121.595
210,146.455
211,0.022
212,0.531
213,0.793
214,0.614
215,0.182
216,76.937
217,0.067
218,0.000
219,0.000
220,0.209
221,0.048
222,0.025
223,0.030
224,0.450
225,14.626
226,60.497
227,0.221
228,2.077
229,0.366
230,0.027
231,0.035
232,0.114
233,0.173
234,0.004
235,6.133
236,0.479
237,0.030
238,0.000
239,0.203
240,20.143
241,103.897
242,0.000
243,0.021
244,67.081
245,0.258
246,0.276
247,28.062
248,0.006
249,0.433
250,0.116
251,0.515
252,0.071
253,204.693
254,0.172
255,0.403
256,0.256
257,0.041
258,0.263
259,159.005
260,0.006
261,0.438
262,0.233
263,0.064
264,0.370
265,0.065
266,2.846
267,32.093
268,146.833
269,0.561
270,0.133
271,0.098
272,0.035
273,0.134
274,0.005
275,0.000
276,0.041
277,0.130
278,1.076
279,0.024
280,93.195
281,0.023
282,0.039
283,0.435
284,0.062
285,0.023
286,0.031
287,0.000
288,126.715
289,0.000
290,0.002
291,0.301
292,200.523
293,0.180
294,150.523
295,129.888
296,0.378
297,0.302
298,0.047
299,69.898
300,0.156
301,0.091
302,95.686
303,0.008
304,2.258
305,0.114
306,0.076
307,23.721
308,182.532
309,0.010
310,0.409
311,104.556
312,0.000
313,0.040
314,0.000
315,0.051
316,0.171
317,0.300
318,209.620
319,0.202
320,0.157
321,0.000
322,0.039
323,0.382
324,20.047
325,0.092
326,1.366
327,28.953
328,0.012
329,0.062
330,0.002
331,32.903
332,0.196
333,39.320
334,0.260
335,0.000
336,59.566
337,18.146
338,0.000
339,0.000
340,207.347
341,41.841
342,0.007
343,0.035
344,0.022
345,157.101
346,0.032
347,0.078
348,12.869
349,0.020
350,0.000
351,0.000
352,0.000
353,3.998
354,0.658
355,51.243
356,14.286
357,0.015
358,0.182
359,126.499
360,136.678
361,0.161
