Label,Mean
1,0.519
2,4.305
3,0.091
4,0.036
5,3.381
6,1.509
7,4.624
8,0.861
9,2.288
10,0.025
11,5.080
12,3.850
13,1.891
14,39.447
15,3.027
16,0.111
17,23.853
18,2.347
19,2.800
20,1.996
21,2.843
22,0.021
23,30.741
24,28.563
25,0.532
26,0.345
27,8.662
28,2.503
29,14.884
30,19.028
31,3.315
32,9.461
33,10.365
34,25.879
35,42.263
36,8.588
37,6.035
38,4.647
39,4.115
40,9.598
41,1.634
42,11.687
43,6.594
44,0.756
45,17.144
46,9.462
47,6.045
48,13.400
49,9.002
50,0.465
51,0.989
52,0.761
53,5.714
54,135.821
55,10.452
56,0.896
57,2.670
58,37.665
59,47.527
60,63.848
61,8.892
62,3.890
63,0.378
64,0.005
65,5.598
66,2.698
67,0.885
68,31.577
69,16.965
70,0.128
71,0.243
72,22.975
73,21.801
74,1.319
75,17.705
76,3.311
77,2.021
78,15.876
79,0.204
80,0.802
81,0.899
82,11.578
83,0.416
84,1.635
85,0.037
86,0.859
87,9.937
88,1.627
89,35.524
90,3.844
91,0.516
92,1.672
93,9.661
94,0.138
95,18.011
96,74.935
97,3.310
98,13.107
99,5.364
100,24.565
101,7.616
102,26.784
103,0.174
104,2.453
105,0.112
106,0.470
107,3.299
108,12.508
109,6.935
110,0.003
111,5.424
112,4.748
113,9.944
114,9.715
115,3.048
116,0.451
117,2.849
118,29.818
119,1.004
120,2.812
121,0.233
122,0.000
123,2.092
124,4.883
125,109.802
126,5.966
127,0.053
128,3.139
129,45.463
130,3.096
131,1.067
132,1.120
133,2.041
134,2.760
135,173.078
136,0.016
137,7.627
138,0.008
139,0.494
140,0.139
141,2.503
142,3.258
143,0.280
144,0.751
145,0.413
146,6.144
147,3.833
148,0.080
149,120.148
150,0.000
151,0.673
152,2.179
153,19.604
154,0.843
155,0.166
156,0.168
157,14.511
158,2.579
159,1.030
160,2.886
161,0.805
162,0.893
163,0.000
164,0.823
165,1.229
166,8.601
167,0.118
168,0.043
169,8.103
170,3.526
171,1.583
172,2.256
173,1.461
174,9.884
175,21.562
176,4.450
177,0.276
178,13.784
179,5.727
180,2.922
181,1.569
182,3.386
183,0.752
184,3.579
185,0.000
186,4.624
187,15.308
188,0.000
189,3.072
190,1.270
191,0.506
192,0.012
193,5.665
194,0.645
195,4.497
196,2.390
197,0.490
198,0.559
199,2.374
200,39.546
201,8.208
202,11.664
203,1.068
204,1.084
205,2.811
206,7.314
207,0.000
208,0.725
209,15.412
210,31.504
211,4.195
212,9.748
213,4.301
214,2.468
215,0.404
216,14.307
217,3.077
218,0.681
219,7.456
220,1.052
221,2.839
222,0.043
223,2.081
224,9.910
225,0.382
226,34.674
227,5.257
228,4.194
229,21.827
230,0.682
231,0.035
232,1.992
233,0.592
234,0.384
235,11.133
236,5.022
237,0.232
238,0.000
239,0.273
240,1.274
241,19.172
242,0.006
243,0.162
244,13.194
245,1.796
246,1.076
247,4.821
248,0.085
249,13.246
250,1.822
251,24.239
252,3.080
253,57.125
254,1.742
255,16.014
256,1.441
257,3.422
258,4.707
259,39.048
260,0.331
261,3.802
262,0.128
263,0.512
264,4.366
265,0.839
266,130.014
267,13.503
268,9.603
269,4.347
270,0.026
271,0.479
272,1.743
273,3.482
274,1.149
275,0.155
276,0.932
277,2.338
278,8.106
279,0.226
280,18.759
281,0.068
282,0.168
283,4.067
284,0.025
285,0.861
286,1.034
287,0.345
288,23.711
289,0.006
290,0.397
291,20.244
292,113.832
293,6.559
294,18.346
295,41.222
296,0.306
297,1.476
298,1.580
299,13.146
300,1.713
301,0.017
302,9.519
303,0.028
304,4.459
305,2.187
306,6.296
307,17.481
308,60.727
309,0.794
310,0.553
311,35.549
312,0.071
313,0.000
314,0.000
315,0.015
316,0.427
317,5.373
318,68.006
319,0.769
320,2.145
321,0.003
322,0.409
323,27.516
324,10.314
325,0.019
326,12.468
327,8.134
328,0.043
329,0.270
330,0.137
331,19.565
332,4.670
333,13.489
334,13.478
335,0.075
336,5.423
337,12.719
338,0.000
339,0.625
340,64.952
341,34.955
342,0.033
343,3.605
344,0.014
345,110.236
346,0.180
347,0.976
348,0.047
349,0.000
350,0.000
351,12.238
352,0.051
353,2.575
354,15.936
355,2.040
356,1.927
357,0.324
358,6.204
359,22.142
360,40.434
361,0.000
362,0.114
363,1.125
364,2.062
365,5.869
366,2.781
367,10.903
368,7.556
369,37.294
370,5.690
371,0.000
372,0.012
373,0.003
374,2.743
375,31.704
376,2.915
377,0.023
378,1.740
379,1.642
380,0.000
381,0.027
382,0.094
383,3.742
384,0.000
385,9.091
386,17.438
387,2.770
388,0.011
389,0.009
390,0.035
391,0.203
392,0.422
393,19.073
394,42.820
395,14.935
396,53.136
397,122.308
398,2.971
399,5.627
400,1.299
401,10.581
402,0.219
403,0.017
404,0.000
405,0.013
406,2.350
407,3.480
408,154.713
409,0.066
410,0.051
411,0.340
412,2.664
413,3.719
414,83.324
415,0.043
416,0.119
417,3.253
418,0.000
419,4.086
420,2.856
421,102.018
422,1.906
423,7.666
424,0.023
425,0.475
426,0.272
427,2.777
428,0.630
429,7.295
430,0.452
431,0.382
432,14.349
433,18.758
434,0.035
435,22.354
436,0.021
437,0.469
438,145.264
439,17.745
440,0.229
441,0.005
442,21.421
443,2.835
444,12.612
445,8.888
446,20.515
447,0.011
448,3.635
449,84.837
450,3.752
451,3.088
452,1.663
453,3.601
454,7.037
455,41.321
456,0.141
457,0.011
458,13.198
459,0.144
460,5.955
461,15.694
462,0.063
463,45.813
464,26.660
465,0.546
466,6.975
467,0.015
468,9.571
469,30.090
470,0.000
471,0.004
472,0.618
473,2.991
474,0.000
475,0.131
476,0.087
477,21.303
478,64.768
479,0.566
480,0.184
481,0.041
482,1.344
483,0.000
484,0.948
485,1.188
486,1.815
487,3.316
488,5.283
489,5.739
490,12.489
491,0.004
492,18.816
493,0.045
494,7.618
495,0.022
496,0.000
497,0.010
498,2.693
499,0.211
500,2.267
501,9.901
502,0.092
503,0.491
504,3.646
505,18.466
506,3.207
507,10.146
508,0.450
509,0.376
510,8.617
511,0.411
512,0.316
513,0.348
514,73.717
515,4.033
516,0.010
517,1.152
518,3.984
519,8.639
520,6.027
521,10.068
522,9.062
523,24.864
524,0.000
525,0.000
526,0.172
527,8.310
528,34.998
529,15.291
530,32.177
531,0.000
532,0.009
533,0.108
534,0.981
535,0.003
536,0.058
537,2.216
538,0.882
539,20.039
540,1.912
541,1.092
542,1.052
543,33.203
544,0.022
545,1.042
546,12.730
547,1.807
548,0.751
549,0.328
550,0.197
551,11.914
552,73.129
553,0.075
554,3.269
555,23.605
556,1.109
557,13.004
558,0.122
559,7.487
560,22.874
561,4.265
562,0.010
563,2.686
564,16.872
565,30.192
566,0.028
567,1.264
568,0.316
569,0.024
570,26.913
571,0.085
572,38.819
573,21.181
574,23.063
575,0.000
576,0.203
577,0.906
578,2.752
579,0.000
580,1.155
581,58.031
582,27.171
583,0.050
584,0.004
585,0.436
586,0.058
587,0.519
588,4.477
589,0.083
590,10.055
591,0.292
592,91.737
593,27.619
594,0.244
595,0.020
596,21.782
597,0.005
598,0.054
599,8.497
600,0.013
601,0.000
602,0.007
603,1.909
604,2.019
605,6.949
606,6.936
607,4.884
608,6.184
609,0.336
610,1.153
611,54.206
612,45.913
613,27.558
614,65.421
615,0.014
616,1.238
617,2.357
618,0.201
619,2.485
620,6.920
621,8.398
622,15.604
623,0.020
624,0.408
625,19.472
626,25.067
627,0.278
628,10.881
629,69.242
630,52.083
631,14.556
632,0.000
633,0.956
634,0.986
635,0.489
636,0.504
637,135.119
638,30.336
639,0.401
640,13.509
641,4.616
642,2.958
643,3.113
644,48.224
645,2.000
646,0.005
647,1.758
648,0.116
649,0.012
650,0.031
651,0.026
652,0.000
653,2.023
654,1.748
655,0.000
656,2.202
657,3.671
658,2.798
659,17.088
660,32.070
661,1.220
662,49.839
663,24.700
664,1.242
665,0.000
666,1.056
667,1.681
668,8.344
669,0.000
670,1.273
671,0.054
672,0.677
673,0.921
674,16.615
675,8.449
676,36.475
677,20.526
678,0.047
679,12.988
680,30.997
681,0.106
682,6.591
683,0.657
684,31.712
685,19.151
686,7.807
687,0.411
688,2.813
689,53.471
690,34.364
691,4.084
692,0.301
693,0.673
694,2.456
695,29.931
696,0.470
697,0.239
698,51.227
699,18.973
700,14.449
701,0.000
702,0.031
703,0.000
704,1.084
705,0.118
706,37.518
707,31.726
708,21.778
709,0.000
710,0.096
