Label,Mean
1,0.000
2,0.000
3,0.000
4,0.000
5,0.071
6,0.000
7,0.045
8,0.085
9,0.061
10,0.000
11,0.054
12,0.115
13,0.151
14,0.000
15,0.072
16,0.000
17,3.869
18,1.040
19,0.075
20,0.078
21,0.000
22,0.282
23,0.030
24,0.279
25,0.000
26,0.042
27,2.938
28,0.402
29,0.245
30,1.208
31,0.225
32,0.595
33,0.266
34,0.000
35,0.278
36,1.640
37,0.105
38,0.000
39,0.430
40,5.598
41,0.954
42,0.151
43,0.290
44,0.096
45,0.204
46,0.151
47,0.164
48,0.107
49,0.119
50,0.059
51,0.216
52,0.096
53,0.000
54,0.000
55,1.204
56,0.000
57,0.249
58,0.637
59,0.056
60,0.718
61,1.108
62,0.000
63,0.796
64,0.206
65,0.317
66,0.151
67,0.462
68,1.026
69,0.000
70,0.125
71,0.000
72,0.030
73,0.488
74,0.750
75,2.395
76,4.395
77,0.051
78,4.262
79,0.000
80,0.260
81,0.667
82,0.039
83,0.021
84,0.287
85,0.060
86,0.423
87,12.384
88,0.000
89,0.079
90,0.200
91,0.307
92,1.015
93,0.000
94,1.041
95,0.565
96,2.571
97,0.122
98,2.835
99,0.288
100,9.919
101,0.174
102,0.655
103,0.590
104,11.087
105,0.660
106,0.175
107,8.838
108,1.300
109,6.784
110,1.579
111,0.584
112,0.340
113,0.421
114,0.581
115,0.786
116,0.231
117,0.000
118,11.449
119,2.683
120,2.660
121,0.520
122,0.037
123,0.325
124,0.000
125,66.214
126,0.487
127,0.060
128,2.333
129,16.448
130,2.394
131,1.035
132,0.181
133,0.756
134,0.816
135,171.031
136,0.864
137,0.013
138,0.092
139,0.000
140,0.500
141,3.726
142,0.515
143,5.127
144,4.894
145,0.471
146,20.026
147,2.667
148,0.638
149,158.202
150,0.017
151,3.571
152,6.298
153,0.290
154,0.072
155,0.351
156,0.021
157,2.931
158,1.214
159,1.013
160,0.068
161,0.853
162,4.399
163,0.000
164,1.062
165,1.039
166,0.446
167,0.034
168,0.258
169,0.069
170,0.871
171,0.194
172,0.021
173,0.000
174,1.072
175,0.000
176,4.079
177,0.721
