Label,Mean
1,115.557
2,19.924
3,143.216
4,150.524
5,1.536
6,57.026
7,17.010
8,8.000
9,4.803
10,9.603
11,76.839
12,3.208
13,49.189
14,3.911
15,4.159
16,96.037
17,5.839
18,95.013
19,15.817
20,11.052
21,69.744
22,36.804
23,22.853
24,2.037
25,0.484
26,104.257
27,105.552
28,116.497
29,38.667
30,55.876
31,49.846
32,131.707
33,26.712
34,33.806
35,28.015
36,96.288
37,13.965
38,67.639
39,132.000
40,13.825
41,64.212
42,92.950
43,41.802
44,83.286
45,83.569
46,113.357
47,65.644
48,101.990
49,52.005
50,60.653
51,48.175
52,94.936
53,87.676
54,3.450
55,99.376
56,46.845
57,42.663
58,48.038
59,24.707
60,11.739
61,87.328
62,48.207
63,88.020
64,47.984
65,56.179
66,43.930
67,44.724
68,38.544
69,154.503
70,60.664
71,34.299
72,8.310
73,13.459
74,67.750
75,117.252
76,38.419
77,70.848
78,41.508
79,145.276
80,25.721
81,20.535
82,4.633
83,109.993
84,96.891
85,96.827
86,47.973
87,12.141
88,82.777
89,40.861
90,43.000
91,126.386
92,54.067
93,35.512
94,69.443
95,4.167
96,26.364
97,4.748
98,103.748
99,77.556
100,29.293
101,15.901
102,6.824
103,166.702
104,16.844
105,79.164
106,92.744
107,119.275
108,100.715
109,16.023
110,64.524
111,103.286
112,10.738
113,76.245
114,31.697
115,36.673
116,57.344
117,49.375
118,10.578
119,31.984
120,50.803
121,84.493
122,58.217
123,83.912
124,2.026
125,2.461
126,52.997
127,102.037
128,85.333
129,20.892
130,54.571
131,31.247
132,118.639
133,35.096
134,31.158
135,4.990
136,48.048
137,79.419
138,137.057
139,121.016
140,104.135
141,125.295
142,44.939
143,49.684
144,106.057
145,120.260
146,4.670
147,13.201
148,54.968
149,7.072
150,91.612
151,34.782
152,41.275
153,25.420
154,85.226
155,82.093
156,83.151
157,85.016
158,10.583
159,29.335
160,29.513
161,43.050
162,5.628
163,84.021
164,118.895
165,2.197
166,3.845
167,93.685
168,64.692
169,7.819
170,2.481
171,5.625
172,153.653
173,105.658
174,62.516
175,35.066
176,15.406
177,103.611
178,51.092
179,116.808
180,26.645
181,59.350
182,90.713
183,12.801
184,17.158
185,77.720
186,14.816
187,30.949
188,75.163
189,92.273
190,97.198
191,22.599
192,78.991
193,52.732
194,123.421
195,98.462
196,26.368
197,135.433
198,23.202
199,44.087
200,7.924
201,78.565
202,26.059
203,23.142
204,56.548
205,18.716
206,100.435
207,64.212
208,64.513
209,50.033
210,7.988
211,41.103
212,14.024
213,51.320
214,58.682
215,51.021
216,15.278
217,117.519
218,38.742
219,80.971
220,5.746
221,67.757
222,58.671
223,86.391
224,12.102
225,20.220
226,13.491
227,55.527
228,54.321
229,22.948
230,16.637
231,66.166
232,71.379
233,67.438
234,17.736
235,37.392
236,33.325
237,102.429
238,38.167
239,48.198
240,0.476
241,19.101
242,68.312
243,42.175
244,27.859
245,71.573
246,52.805
247,6.912
248,40.771
249,42.640
250,53.384
251,72.090
252,71.282
253,5.149
254,140.865
255,25.704
256,58.732
257,72.317
258,74.913
259,10.589
260,92.809
261,38.517
262,22.648
263,37.069
264,35.515
265,69.604
266,10.749
267,65.030
268,16.452
269,48.084
270,47.697
271,77.496
272,6.196
273,36.710
274,35.176
275,2.956
276,121.538
277,5.025
278,31.764
279,142.669
280,2.595
281,60.239
282,90.861
283,42.722
284,48.758
285,75.100
286,85.857
287,25.009
288,11.777
289,77.530
290,131.234
291,62.951
292,5.741
293,34.507
294,6.105
295,9.198
296,53.464
297,40.421
298,4.773
299,59.319
300,36.799
301,37.431
302,20.166
303,161.768
304,20.231
305,8.836
306,4.294
307,10.973
308,19.773
309,90.566
310,10.245
311,7.875
312,59.206
313,58.077
314,47.869
315,53.408
316,15.766
317,21.757
318,10.650
319,116.017
