Label,Mean
1,8.538
2,26.648
3,2.477
4,13.119
5,8.250
6,27.340
7,5.627
8,6.228
9,21.263
10,3.066
11,8.777
12,3.273
13,16.870
14,30.672
15,3.462
16,20.778
17,21.364
18,2.747
19,5.642
20,3.732
21,6.593
22,33.114
23,1.792
24,15.595
25,0.762
26,44.768
27,3.186
28,5.808
29,9.660
30,11.746
31,10.625
32,3.254
33,14.587
34,61.262
35,6.670
36,13.075
37,13.009
38,8.925
39,17.907
40,65.015
41,10.664
42,6.137
43,4.949
44,15.897
45,12.260
46,42.226
47,63.959
48,5.793
49,4.730
50,6.109
51,6.277
52,4.355
53,27.281
54,0.238
55,1.749
56,3.591
57,16.039
58,5.276
59,99.393
60,36.274
61,16.972
62,2.907
63,11.204
64,3.661
65,155.915
66,9.985
67,6.731
68,3.088
69,4.168
70,8.820
71,4.421
72,0.670
73,6.882
74,6.410
75,3.415
76,48.276
77,2.139
78,24.320
79,8.474
80,3.211
81,1.543
82,4.221
83,3.546
84,29.470
85,15.613
86,10.445
87,19.141
88,10.183
89,11.547
90,0.533
91,8.764
92,15.959
93,0.378
94,5.665
95,7.981
96,53.747
97,1.061
98,17.519
99,12.564
100,14.295
101,4.459
102,20.226
103,1.485
104,116.740
105,4.866
106,8.773
107,12.958
108,4.136
109,1.679
110,6.934
111,10.389
112,0.770
113,5.544
114,2.086
115,0.710
116,4.119
117,1.120
118,1.797
119,6.675
120,1.204
121,0.807
122,6.354
123,8.888
124,2.987
125,4.105
126,5.441
127,5.640
128,9.806
129,0.831
130,7.300
131,3.116
132,9.722
133,0.263
134,2.653
135,6.350
136,2.260
137,3.958
138,3.034
139,8.612
140,1.159
141,38.010
142,10.146
143,14.353
144,2.488
145,1.930
146,11.933
147,8.257
148,4.761
149,9.624
150,1.690
151,18.769
152,10.844
153,12.007
154,4.250
155,8.990
156,3.227
157,18.298
158,25.640
159,13.048
160,4.821
161,9.509
162,14.005
163,2.750
164,2.528
165,4.340
166,9.405
167,6.865
168,3.276
169,1.971
170,3.293
171,0.000
172,2.544
173,7.423
174,2.940
175,2.648
176,8.100
177,14.982
178,2.824
179,13.327
180,2.742
181,1.151
182,1.294
183,57.772
184,21.021
185,5.458
186,1.101
187,6.553
188,2.000
189,11.843
190,6.969
191,7.730
192,5.592
193,4.050
194,0.248
195,4.875
196,17.814
197,2.158
198,6.190
199,13.074
200,17.747
201,7.712
202,3.059
203,8.475
204,20.346
205,32.010
206,17.047
207,1.565
208,1.488
209,2.461
210,3.260
211,32.876
212,54.469
213,14.203
214,3.809
215,2.796
216,5.439
217,2.640
218,7.279
219,10.186
220,18.010
221,8.452
222,23.031
223,15.888
224,0.209
225,0.244
226,9.474
227,5.442
228,11.571
229,13.539
230,7.397
231,4.157
232,4.580
233,5.953
234,9.562
235,4.540
236,94.580
237,7.619
238,2.767
239,3.073
240,0.357
241,6.313
242,0.000
243,18.279
244,7.811
245,8.735
246,1.254
247,6.521
248,35.066
249,56.372
250,8.917
251,14.075
252,2.598
253,3.766
254,7.954
255,80.137
256,40.908
257,13.550
258,40.880
259,2.740
260,5.322
261,4.718
262,8.615
263,0.424
264,3.183
265,3.833
266,6.740
267,15.873
268,11.770
269,5.248
270,11.760
271,69.907
272,4.470
273,8.737
274,3.431
275,1.659
276,11.348
277,26.925
278,8.450
279,1.328
280,5.854
281,0.000
282,2.564
283,76.017
284,10.892
285,6.032
286,2.621
287,4.100
288,8.797
289,1.922
290,21.910
291,53.374
292,14.500
293,32.249
294,3.767
295,8.550
296,12.271
297,36.695
298,36.615
299,6.276
300,13.737
301,17.793
302,1.858
303,1.785
304,10.747
305,1.215
306,3.265
307,5.160
308,7.693
309,1.978
310,3.456
311,10.348
312,3.891
313,12.960
314,0.393
315,10.940
316,33.182
317,75.437
318,16.618
319,7.980
320,32.414
321,13.117
322,6.943
323,1.305
324,1.594
325,1.396
326,3.730
327,3.967
328,4.084
329,6.445
330,34.687
331,2.715
332,29.596
333,29.604
334,8.818
335,1.856
336,2.118
337,7.969
338,0.625
339,10.474
340,9.448
341,1.766
342,84.375
