Label,Mean
1,0.217
2,2.419
3,0.091
4,0.060
5,3.060
6,2.111
7,0.910
8,8.527
9,0.015
10,26.727
11,7.000
12,2.069
13,7.479
14,0.007
15,13.868
16,0.025
17,8.710
18,0.000
19,9.183
20,0.026
21,0.000
22,0.000
23,0.005
24,5.842
25,0.016
26,0.000
27,0.000
28,0.049
29,12.959
30,6.473
31,0.139
32,0.780
33,2.203
34,12.432
35,9.026
36,24.180
37,3.281
38,1.498
39,1.224
40,14.433
41,6.446
42,0.025
43,0.338
44,12.534
45,3.642
46,31.774
47,0.003
48,2.002
49,1.007
50,0.723
51,9.856
52,16.279
53,10.027
54,0.026
55,12.226
56,0.006
57,9.173
58,3.478
59,0.000
60,0.000
61,0.230
62,1.321
63,0.015
64,2.614
65,0.000
66,1.683
67,12.330
68,0.287
69,0.042
70,0.003
71,0.019
72,0.000
73,0.634
74,2.174
75,3.783
76,1.730
77,3.970
78,0.616
79,0.408
80,4.095
81,0.002
82,1.071
83,0.636
84,0.004
85,0.023
86,0.032
87,1.133
88,0.417
89,8.139
90,0.000
91,0.004
92,8.969
93,12.386
94,2.085
95,0.640
96,2.571
97,0.000
98,2.500
99,0.036
100,12.185
101,2.291
102,0.709
103,0.020
104,0.014
105,0.369
106,2.616
107,3.946
108,0.056
109,5.338
110,0.032
111,1.597
112,0.947
113,0.004
114,6.120
115,1.239
116,18.582
117,0.004
118,9.098
119,0.175
120,7.272
121,0.947
122,14.183
123,0.000
124,0.000
125,0.390
126,0.069
127,0.053
128,8.395
129,0.753
130,3.408
131,1.052
132,0.007
133,2.047
134,3.226
135,1.367
136,4.032
137,3.326
138,0.008
139,0.459
140,0.000
141,0.014
142,1.232
143,38.051
144,1.003
145,0.033
146,4.211
147,2.146
148,3.766
149,1.311
150,0.009
151,5.129
152,3.996
153,3.408
154,0.006
155,0.000
156,0.038
157,0.954
158,16.121
159,6.494
160,0.293
161,5.274
162,80.798
163,0.058
164,6.992
165,6.632
166,0.000
167,15.388
168,0.011
169,0.540
170,9.605
171,0.005
172,0.011
173,0.335
174,1.281
175,3.380
176,2.227
177,0.498
178,72.339
179,0.015
180,0.194
181,6.820
182,0.000
183,71.537
184,9.764
185,0.006
186,0.919
187,84.569
188,0.000
189,7.582
190,10.250
191,8.315
192,0.000
193,1.899
194,0.004
195,8.359
196,1.350
197,4.711
198,3.667
199,5.448
200,0.019
201,0.119
202,1.410
203,10.253
204,9.215
205,32.468
206,0.000
207,0.000
208,0.008
209,26.908
210,0.000
211,5.195
212,58.197
213,5.075
214,0.000
215,4.255
216,63.337
217,1.579
218,6.245
219,0.018
220,8.892
221,0.013
222,0.000
223,0.322
224,0.184
225,0.000
226,71.840
227,0.000
228,2.342
229,10.220
230,14.815
231,0.000
232,12.474
233,0.816
234,0.019
235,0.068
236,79.616
237,0.542
238,0.000
239,1.584
240,0.000
241,3.431
242,0.006
243,3.469
244,0.000
245,22.831
246,7.238
247,0.717
248,0.003
249,0.071
250,0.298
251,27.306
252,2.340
253,7.033
254,6.245
255,35.005
256,0.135
257,0.317
258,7.550
259,0.004
260,0.471
261,7.378
262,0.278
263,3.493
264,0.004
265,0.059
266,0.007
267,0.000
268,48.706
269,0.000
270,0.000
271,1.687
272,0.004
273,5.819
274,4.872
275,0.953
276,0.146
277,3.421
278,5.024
279,6.041
280,0.010
281,0.023
282,0.005
283,0.268
284,0.000
285,0.514
286,0.038
287,0.000
288,8.459
289,0.009
290,0.197
291,1.665
292,0.000
293,0.617
294,0.000
295,0.004
296,0.124
297,0.817
298,53.331
299,2.823
300,2.090
301,0.030
302,2.987
303,0.012
304,0.002
305,12.630
306,5.412
307,1.612
308,0.003
309,0.005
310,11.967
311,2.617
312,0.000
313,0.000
314,0.009
315,0.077
316,5.617
317,8.722
318,0.004
319,7.679
320,0.287
321,0.003
322,1.424
323,0.283
324,0.290
325,0.000
326,0.885
327,0.239
328,0.017
329,0.049
330,0.007
331,0.298
332,1.709
333,0.004
334,6.948
335,0.000
336,0.457
337,6.097
338,0.000
339,0.000
340,0.031
341,0.000
342,0.007
343,5.513
344,0.626
345,0.000
346,0.019
347,1.097
348,0.000
349,0.000
350,0.000
351,4.629
352,0.000
353,0.035
354,2.432
355,0.017
356,21.381
357,2.568
358,2.171
359,0.017
360,19.013
361,0.000
362,0.003
363,5.220
364,0.406
365,30.689
366,89.496
367,2.810
368,0.372
369,7.291
370,78.660
371,0.000
372,0.000
373,0.011
374,2.088
375,0.047
376,2.018
377,0.007
378,0.000
379,17.704
380,0.003
381,0.000
382,0.003
383,0.000
384,0.000
385,1.341
386,0.039
387,29.717
388,0.000
389,0.000
390,0.843
391,0.005
392,2.026
393,8.712
394,0.491
395,1.732
396,6.264
397,0.005
398,0.154
399,1.145
400,0.382
401,3.457
402,0.000
403,0.000
404,0.000
405,1.606
406,2.520
407,11.342
408,0.682
409,0.015
410,0.077
411,4.003
412,2.054
413,5.435
414,0.010
415,0.000
416,0.042
417,1.516
418,0.000
419,7.904
420,1.317
421,0.004
422,38.549
423,55.957
424,0.000
425,0.630
426,0.404
427,1.340
428,0.049
429,71.379
430,0.000
431,0.136
432,0.482
433,4.395
434,0.000
435,6.379
436,0.052
437,0.000
438,0.014
439,0.086
440,0.000
441,0.028
442,0.000
443,2.178
444,5.701
445,0.010
446,0.000
447,0.000
448,0.174
449,3.043
450,4.035
451,54.416
452,0.135
453,0.003
454,1.569
455,0.007
456,0.000
457,0.000
458,2.613
459,0.034
460,3.723
461,0.007
462,0.012
463,0.002
464,3.926
465,1.884
466,1.636
467,1.559
468,1.389
469,0.000
470,0.000
471,0.885
472,2.268
473,2.241
474,0.000
475,0.000
476,0.012
477,5.322
478,0.050
479,0.045
480,0.000
481,4.844
482,5.230
483,0.004
484,0.799
485,1.928
486,0.326
487,2.468
488,1.753
489,9.982
490,0.000
491,0.000
492,74.171
493,0.000
494,0.044
495,36.541
496,0.000
497,0.000
498,0.000
499,0.000
500,0.603
501,3.827
502,0.000
503,9.023
504,1.341
505,43.984
506,0.007
507,0.005
508,0.000
509,0.176
510,13.065
511,0.389
512,0.000
513,0.371
514,0.000
515,182.526
516,0.170
517,0.921
518,0.298
519,3.060
520,2.276
521,0.091
522,0.539
523,59.864
524,0.000
525,0.000
526,0.000
527,2.672
528,6.911
529,8.141
530,0.036
531,0.000
532,0.000
533,0.146
534,0.000
535,0.006
536,0.000
537,2.537
538,0.002
539,0.009
540,0.396
541,0.065
542,29.725
543,1.023
544,0.000
545,0.754
546,1.733
547,2.970
548,0.000
549,0.000
550,0.115
551,4.824
552,0.009
553,0.143
554,1.167
555,7.259
556,9.741
557,0.000
558,0.000
559,5.658
560,0.078
561,0.000
562,0.003
563,0.004
564,0.000
565,0.000
566,0.000
567,1.274
568,1.469
569,0.016
570,0.555
571,0.000
572,1.375
573,0.001
574,2.786
575,0.000
576,0.000
577,0.269
578,3.876
579,2.188
580,0.202
581,32.997
582,6.520
583,0.000
584,0.000
585,0.031
586,0.047
587,0.000
588,0.000
589,0.000
590,1.830
591,0.251
592,0.000
593,1.418
594,0.015
595,0.049
596,0.000
597,0.005
598,0.095
599,0.000
600,0.000
601,0.000
602,0.004
603,1.155
604,38.493
605,14.042
606,0.000
607,0.589
608,0.065
609,0.154
610,7.135
611,1.682
612,0.031
613,0.004
614,0.000
615,0.014
616,0.000
617,0.108
618,0.000
619,4.175
620,0.009
621,0.093
622,1.294
623,0.000
624,0.015
625,0.557
626,0.692
627,0.009
628,0.106
629,0.555
630,0.000
631,3.625
632,0.000
633,0.328
634,0.264
635,0.720
636,0.039
637,0.033
638,8.566
639,0.000
640,61.877
641,0.000
642,1.475
643,1.229
644,0.000
645,94.095
646,0.000
647,0.131
648,0.000
649,0.000
650,0.000
651,0.515
652,0.006
653,1.117
654,0.746
655,0.011
656,0.844
657,0.215
658,12.284
659,0.610
660,0.000
661,0.071
662,0.006
663,0.000
664,0.001
665,0.000
666,0.000
667,0.710
668,119.676
669,0.169
670,0.223
671,0.000
672,0.000
673,45.502
674,1.529
675,0.628
676,1.356
677,39.531
678,0.000
679,0.443
680,2.000
681,0.072
682,0.000
683,0.081
684,0.004
685,0.000
686,60.704
687,0.006
688,1.304
689,0.000
690,27.344
691,0.000
692,0.006
693,0.129
694,124.264
695,0.017
696,0.019
697,0.041
698,0.038
699,1.983
700,0.506
701,0.014
702,0.037
703,0.028
704,0.017
705,0.056
706,0.706
707,1.844
708,0.000
709,0.000
710,0.003
711,0.023
712,0.003
713,0.067
714,0.645
