Label,Mean
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.566
7,1.669
8,0.000
9,1.727
10,0.000
11,0.000
12,0.415
13,0.681
14,0.043
15,0.432
16,0.000
17,1.556
18,2.400
19,0.225
20,1.013
21,0.837
22,0.422
23,0.914
24,0.251
25,2.429
26,0.444
27,0.621
28,0.494
29,0.367
30,1.081
31,2.360
32,5.741
33,1.395
34,0.000
35,2.691
36,3.775
37,0.316
38,1.568
39,2.299
40,2.598
41,5.170
42,0.129
43,0.696
44,0.289
45,2.715
46,8.060
47,1.295
48,2.698
49,1.474
50,0.713
51,2.543
52,0.932
53,0.097
54,0.358
55,2.065
56,1.262
57,1.954
58,4.593
59,0.000
60,0.000
61,0.314
62,0.732
63,0.184
64,1.667
65,1.636
66,2.442
67,0.808
68,1.967
69,0.126
70,1.433
71,0.000
72,0.274
73,0.951
74,0.750
75,0.977
76,8.376
77,0.456
78,2.071
79,2.013
80,0.732
81,3.782
82,0.994
83,4.330
84,3.365
85,3.480
86,3.727
87,0.845
88,1.800
89,4.099
90,0.800
91,4.323
92,19.133
93,0.709
94,3.019
95,0.871
96,0.000
97,0.122
98,2.359
99,2.952
100,3.069
101,2.407
102,2.873
103,1.416
104,0.934
105,0.264
106,3.398
107,6.841
108,0.390
109,4.054
110,0.000
111,2.968
112,0.128
113,3.901
114,1.965
115,0.669
116,1.015
117,1.320
118,15.728
119,2.561
120,1.340
121,3.073
122,2.516
123,0.067
124,0.818
125,45.947
126,11.787
127,0.960
128,2.944
129,9.506
130,4.830
131,0.898
132,2.110
133,0.641
134,4.590
135,25.361
136,0.936
137,3.552
138,0.897
139,0.424
140,0.643
141,6.171
142,0.545
143,1.375
144,0.000
145,4.616
146,4.753
147,0.875
148,9.888
149,35.306
150,0.466
151,3.735
152,7.489
153,19.862
154,6.343
155,0.615
156,2.725
157,0.472
158,1.071
159,0.429
160,1.711
161,1.975
162,3.726
163,3.000
164,8.129
165,0.623
166,0.122
167,2.124
168,1.613
169,3.103
170,2.488
171,0.000
172,3.474
173,2.599
174,7.303
175,1.247
176,6.793
177,0.064
