Label,Mean
1,0.000
2,0.981
3,0.011
4,0.452
5,0.083
6,0.143
7,0.148
8,1.491
9,10.455
10,0.000
11,0.866
12,0.208
13,10.265
14,0.160
15,0.417
16,0.926
17,1.500
18,0.013
19,0.121
20,0.126
21,0.884
22,0.449
23,13.660
24,1.079
25,0.016
26,2.014
27,0.179
28,0.003
29,0.007
30,0.449
31,17.539
32,0.000
33,5.314
34,8.767
35,3.397
36,0.049
37,2.518
38,0.075
39,2.377
40,0.113
41,9.444
42,2.338
43,0.568
44,0.138
45,19.504
46,0.533
47,0.538
48,3.292
49,1.375
50,10.356
51,43.244
52,2.347
53,40.108
54,0.007
55,2.351
56,56.152
57,0.300
58,5.698
59,0.475
60,0.457
61,1.383
62,0.110
63,0.000
64,20.971
65,0.067
66,0.085
67,37.974
68,0.026
69,0.049
70,27.723
71,0.065
72,0.000
73,1.866
74,0.208
75,11.434
76,0.516
77,0.025
78,1.129
79,0.000
80,51.439
81,17.572
82,1.393
83,0.000
84,0.022
85,12.757
86,62.696
87,0.788
88,0.047
89,0.241
90,0.156
91,0.091
92,0.082
93,0.008
94,2.769
95,1.121
96,1.182
97,3.503
98,0.000
99,0.008
100,2.574
101,0.267
102,0.178
103,0.000
104,0.166
105,17.523
106,0.000
107,0.017
108,0.012
109,34.747
110,6.050
111,0.584
112,4.291
113,3.231
114,0.312
115,0.281
116,0.134
117,0.008
118,0.269
119,0.073
120,0.000
121,0.000
122,6.531
123,2.529
124,0.013
125,14.793
126,4.391
127,0.000
128,0.750
129,13.068
130,1.346
131,10.842
132,0.000
133,14.682
134,1.109
135,1.520
136,5.204
137,0.129
138,0.011
139,0.690
140,0.004
141,0.003
142,0.000
143,0.207
144,6.109
145,0.132
146,65.113
147,1.729
148,0.000
149,0.777
150,0.000
151,7.588
152,0.756
153,0.232
154,0.000
155,0.000
156,0.007
157,0.000
158,5.381
159,0.190
160,6.563
161,0.000
162,0.127
163,0.000
164,4.131
165,0.506
166,1.142
167,0.011
168,0.168
169,0.256
170,3.617
171,0.093
172,0.000
173,0.137
174,0.335
175,0.122
176,39.555
177,22.297
178,1.455
179,1.227
180,0.120
181,0.147
182,1.437
183,0.222
184,1.330
185,0.000
186,0.057
187,0.369
188,0.000
189,0.012
190,6.994
191,16.423
192,0.000
193,0.179
194,0.000
195,5.792
196,21.242
197,0.047
198,13.843
199,3.896
200,3.772
201,0.000
202,0.010
203,17.568
204,0.195
205,0.801
206,0.000
207,0.000
208,0.000
209,0.471
210,4.479
211,0.222
212,0.623
213,20.331
214,0.005
215,51.073
216,0.010
217,0.007
218,6.603
219,0.004
220,1.014
221,0.004
222,0.000
223,0.036
224,3.144
225,0.008
226,0.069
227,0.000
228,5.276
229,3.110
230,1.752
231,0.000
232,0.005
233,0.000
234,0.527
235,3.205
236,0.980
237,0.107
238,0.000
239,16.953
240,1.583
241,0.356
242,0.000
243,38.708
244,0.367
245,33.234
246,4.654
247,0.787
248,0.000
249,0.044
250,9.711
251,0.231
252,0.304
253,3.214
254,0.098
255,1.420
256,0.058
257,0.033
258,12.411
259,1.833
260,0.003
261,3.432
262,18.319
263,7.197
264,0.000
265,0.023
266,1.494
267,0.597
268,0.175
269,0.043
270,0.014
271,0.040
272,5.552
273,2.627
274,17.676
275,0.120
276,0.572
277,1.357
278,0.589
279,0.000
280,1.416
281,0.000
282,2.844
283,6.502
284,0.013
285,2.359
286,12.502
287,0.000
288,3.274
289,0.000
290,5.735
291,11.724
292,2.464
293,6.217
294,0.326
295,1.047
296,0.002
297,25.509
298,0.514
299,5.406
300,25.376
301,0.000
302,1.210
303,0.008
304,4.288
305,1.434
306,7.245
307,78.314
308,1.922
309,0.306
310,53.888
311,0.853
312,0.000
313,0.000
314,0.000
315,1.405
316,33.518
317,39.479
318,5.277
319,3.234
320,35.539
321,0.000
322,0.000
323,0.177
324,1.132
325,0.000
326,1.728
327,2.103
328,0.000
329,0.021
330,1.955
331,6.104
332,2.481
333,1.917
334,0.485
335,0.007
336,0.684
337,0.294
338,0.000
339,78.405
340,2.581
341,0.318
342,0.000
343,49.689
344,0.003
345,55.446
346,0.000
347,2.642
348,0.033
349,0.016
350,0.000
351,3.687
352,0.960
353,5.956
354,34.506
355,0.700
356,65.832
357,0.683
358,27.549
359,0.820
360,4.035
361,0.236
362,0.535
363,84.441
364,19.908
365,0.797
366,0.417
367,1.926
368,4.691
369,1.369
370,10.239
371,0.000
372,0.000
373,0.003
374,0.178
375,1.577
376,3.647
377,0.003
378,54.862
379,0.039
380,0.000
381,0.000
382,0.000
383,73.268
384,0.000
385,5.006
386,1.310
387,0.312
388,0.000
389,0.000
390,0.000
391,2.338
392,0.317
393,46.518
394,0.690
395,9.569
396,0.764
397,1.755
398,0.000
399,1.662
400,1.092
401,20.817
402,0.000
403,0.000
404,0.000
405,0.019
406,0.124
407,1.490
408,4.788
409,0.000
410,0.013
411,16.184
412,18.177
413,0.097
414,2.339
415,0.040
416,0.024
417,109.347
418,0.000
419,3.701
420,1.857
421,0.500
422,0.125
423,0.148
424,0.000
425,0.000
426,0.000
427,0.154
428,2.502
429,3.305
430,0.000
431,0.281
432,12.380
433,0.471
434,0.006
435,5.574
436,0.000
437,0.184
438,0.704
439,0.241
440,0.018
441,0.018
442,0.231
443,0.396
444,90.761
445,3.824
446,0.107
447,0.000
448,0.090
449,10.626
450,0.843
451,0.179
452,2.898
453,0.434
454,1.151
455,1.903
456,0.000
457,0.000
458,1.874
459,0.000
460,44.184
461,0.261
462,0.000
463,3.720
464,4.137
465,0.345
466,5.824
467,0.480
468,11.726
469,0.699
470,0.000
471,0.000
472,0.000
473,0.075
474,0.000
475,0.000
476,0.000
477,36.267
478,3.049
479,0.017
480,0.291
481,9.776
482,0.175
483,0.000
484,5.586
485,4.671
486,0.083
487,20.311
488,1.464
489,0.120
490,1.002
491,0.000
492,0.761
493,0.000
494,0.400
495,0.177
496,0.000
497,0.000
498,8.331
499,41.379
500,7.462
501,1.909
502,0.000
503,51.974
504,20.834
505,4.342
506,0.574
507,2.087
508,0.000
509,1.721
