Label,Mean
1,0.057
2,0.314
3,0.000
4,0.000
5,0.000
6,0.189
7,0.792
8,0.007
9,0.000
10,1.041
11,0.036
12,0.712
13,0.113
14,0.895
15,1.366
16,0.000
17,0.320
18,0.000
19,1.258
20,0.069
21,0.233
22,0.006
23,0.096
24,0.688
25,0.421
26,0.000
27,0.000
28,0.000
29,0.014
30,0.155
31,0.172
32,1.504
33,0.074
34,12.505
35,0.278
36,1.097
37,0.000
38,0.075
39,0.012
40,0.093
41,0.055
42,0.281
43,0.029
44,0.026
45,0.484
46,0.251
47,0.120
48,0.016
49,0.072
50,0.000
51,0.000
52,0.000
53,0.130
54,0.000
55,0.570
56,0.018
57,0.194
58,0.080
59,70.365
60,69.662
61,0.383
62,10.374
63,0.000
64,0.000
65,0.123
66,0.010
67,0.407
68,0.048
69,0.028
70,0.021
71,0.019
72,0.020
73,0.638
74,0.167
75,0.031
76,0.119
77,0.000
78,0.943
79,0.000
80,0.043
81,0.004
82,0.117
83,0.000
84,0.009
85,0.000
86,0.034
87,0.308
88,0.047
89,0.047
90,23.933
91,0.000
92,0.000
93,0.000
94,0.012
95,0.761
96,0.000
97,0.014
98,0.267
99,0.000
100,0.256
101,0.453
102,0.295
103,0.000
104,0.000
105,0.005
106,0.000
107,0.015
108,0.006
109,0.358
110,0.005
111,0.005
112,0.142
113,0.004
114,0.046
115,0.078
116,0.318
117,16.375
118,6.805
119,0.126
120,0.000
121,0.000
122,0.019
123,0.000
124,0.422
125,0.087
126,0.000
127,0.007
128,0.000
129,5.892
130,0.005
131,0.008
132,0.000
133,0.000
134,0.010
135,2.997
136,0.084
137,0.009
138,0.000
139,0.016
140,0.000
141,0.014
142,0.096
143,0.578
144,0.221
145,0.008
146,1.443
147,0.000
148,0.000
149,4.464
150,0.000
151,0.415
152,5.344
153,79.321
154,0.000
155,0.020
156,0.021
157,0.085
158,0.102
159,0.154
160,0.000
161,0.060
162,1.392
163,0.000
164,0.005
165,2.056
166,0.514
167,0.000
168,0.000
169,0.000
170,0.321
171,11.769
172,0.000
173,0.000
174,0.016
175,0.011
176,0.583
177,0.000
178,4.694
179,0.062
180,0.000
181,1.128
182,0.978
183,2.794
184,3.091
185,0.000
186,0.064
187,16.603
188,0.014
189,0.000
190,0.169
191,0.079
192,0.000
193,0.659
194,0.000
195,0.051
196,0.063
197,0.000
198,0.099
199,4.139
200,208.277
201,0.250
202,0.020
203,0.062
204,0.015
205,6.328
206,0.000
207,0.000
208,0.000
209,7.824
210,70.351
211,0.297
212,6.168
213,0.034
214,0.482
215,0.018
216,5.244
217,0.000
218,0.008
219,0.007
220,0.289
221,0.000
222,0.000
223,0.000
224,0.035
225,3.053
226,20.977
227,0.016
228,0.000
229,0.157
230,0.061
231,0.000
232,0.038
233,0.011
234,0.078
235,3.806
236,3.294
237,0.048
238,0.000
239,0.006
240,7.494
241,40.842
242,0.000
243,0.049
244,110.065
245,0.206
246,0.000
247,76.179
248,0.000
249,0.345
250,0.048
251,0.104
252,0.031
253,38.068
254,0.014
255,0.518
256,0.000
257,0.084
258,0.011
259,79.322
260,0.018
261,0.030
262,0.000
263,0.020
264,0.036
265,0.000
266,0.029
267,48.847
268,23.937
269,0.452
270,0.036
271,0.098
272,0.000
273,0.019
274,0.000
275,0.009
276,0.024
277,0.044
278,0.013
279,0.034
280,163.595
281,0.000
282,0.092
283,0.047
284,0.000
285,0.005
286,0.007
287,0.018
288,2.149
289,0.000
290,0.032
291,0.098
292,100.018
293,0.006
294,128.363
295,30.418
296,0.004
297,0.052
298,1.024
299,0.217
300,0.115
301,0.000
302,6.013
303,0.041
304,0.303
305,0.927
306,0.019
307,50.588
308,101.880
309,0.019
310,0.356
311,122.969
312,0.000
313,0.000
314,0.000
315,0.006
316,0.050
317,0.057
318,90.743
319,0.006
320,0.012
321,0.012
322,0.028
323,0.118
324,0.016
325,0.006
326,0.087
327,16.017
328,0.000
329,0.889
330,0.041
331,0.203
332,0.007
333,16.814
334,0.187
335,0.000
336,0.352
337,55.035
338,0.000
339,0.094
340,23.265
341,24.923
342,0.000
343,0.021
344,0.000
345,30.797
346,2.399
347,0.009
348,64.678
