X,Y,Z
45456.4,43372.5,176.898
45355.1,43483.2,95.6105
45206,43621.1,181.827
45220,43611.2,159.404
45329.6,43506.4,137.14
45357.5,43479.8,142.051
45232.6,43592.3,255.531
45317.4,43534.6,69.6706
45247.2,43607.4,131.599
45216.6,43615,278.816
45301.1,43553.3,102.575
45255.8,43592,163.569
45328.4,43540,42.8172
45237.9,43609.6,173.106
45362.3,43498.3,100.338
45338.3,43518,149.188
45279.9,43576.8,145.876
45350.1,43504.9,176.072
45221.7,43622.6,264.162
45268.3,43589.6,169.755
45292.8,43572.2,100.239
45459.6,43394.8,216.43
45231.3,43627,159.962
45248.3,43599,277.934
45333.5,43539.7,66.9216
45267.6,43597.9,105.902
45242.9,43604.7,262.552
45300.8,43568.9,108.427
45357,43509.9,136.515
45362.7,43494.6,216.8
45291.9,43586.1,65.8507
45370.2,43504.1,113.374
45362,43516.3,75.6538
45370.3,43503.2,163.921
45295.7,43564.9,220.265
45343.1,43541,96.191
45376.6,43506.6,71.3163
45272,43600.2,149.237
45353.1,43523.9,115.783
45268.2,43605,166.58
45356.8,43533.6,103.921
45332.7,43560.4,66.4913
45330.8,43544.4,204.054
45327.1,43572.3,51.6404
45435.2,43445.3,218.931
45313.4,43582.8,78.1571
45333.1,43563.8,119.31
45289.5,43603.8,137.166
45363.4,43544.8,58.9595
45351.1,43530.8,262.111
45374.3,43540.3,78.8907
45278.7,43627.5,170.173
45330.9,43569.1,191.24
45356.4,43562,52.9208
45378.9,43524.7,161.227
45407,43502.1,171.055
45298.6,43609,236.146
45354.4,43575.5,59.8174
45294.7,43619.2,242.707
45346.3,43586.5,62.9978
45394.8,43528.9,153.945
45359.2,43565.2,153.517
45348,43567.6,250.635
45382.4,43554.6,82.3755
45290.9,43628,229.23
45378.5,43550.1,161.121
45288.1,43633.2,253.516
45379.2,43560.9,131.439
45382.9,43548.5,216.187
45342.4,43590.7,208.894
45349,43582.6,232.211
45390.7,43562,78.771
45375,43556.9,222.914
45397.8,43560.4,61.3858
45352.6,43594.6,184.951
45357.1,43575.7,282.715
45329.4,43612.7,253.587
45386.2,43576.1,92.1953
45366.2,43579.7,255.005
45346.8,43622.5,86.1689
45391.1,43561.9,213.922
45338.3,43614,218.078
45399.9,43570.2,83.3153
45375.5,43597.7,94.99
45378.1,43593.1,165.738
45344.1,43612.3,251.439
45327.8,43631.6,213.314
45398.7,43582.1,88.8179
45344.9,43627.5,197.096
45362,43612.5,183.134
45384.5,43599.2,141.133
45438.4,43542.3,173.06
45404.2,43598.7,133.12
45381.4,43615.2,199.305
45371.8,43630.2,180.719
45432.6,43599.8,96.0789
45406.8,43622.2,162.53
45418.1,43606.9,232.416
45427.5,43603.8,204.948
45411.3,43609.7,285.031
45371.9,43390.1,79.3124
45252.2,43510.7,82.3581
45231.2,43523.9,147.219
45223.7,43518.4,251.509
45291.3,43465.9,129.776
45174.7,43568.2,244.002
45184.2,43558.2,251.349
45251,43519.4,91.5766
45414.7,43347.3,248.44
45265.1,43500.6,141.427
45450.8,43315,155.752
45394.6,43358.7,280.878
45287,43489.7,82.9985
45270,43487.2,258.882
45221.8,43529.6,279.196
45305.8,43483.8,29.9007
45209.9,43556.1,230.067
45151.6,43620.9,192.668
45317.2,43469.7,81.1108
45228.3,43553.8,105.472
45274.3,43519.2,32.8474
45309.8,43474.9,104.137
45167.2,43605.1,218.837
45284.1,43495.2,159.073
45246.5,43544.3,71.2211
45237.8,43544.6,161.994
45148.9,43632.3,171.201
45387.8,43390.6,208.421
45403.9,43369.4,271.719
45224.8,43544.4,281.772
45199.7,43597.4,83.1005
45271.2,43535.5,61.2889
45292.5,43482.5,261.555
45455.3,43331.9,193.658
45307,43481.3,164.965
45319.5,43461.1,238.195
45288.6,43505.1,137.202
45304.4,43474.7,260.762
45317.6,43477.3,134.181
45221.8,43562.5,223.373
45368.1,43412.7,285.643
45209.7,43571.2,271.198
45432.3,43356.4,223.438
45336.5,43472.4,53.3358
45217.7,43581.6,127.739
45158.1,43630.3,242.912
45323,43468.7,223.534
45296.7,43501.7,187.871
45316,43490.6,122.754
45363.2,43426.9,283.04
45319.7,43497.1,83.4836
45195.6,43603.5,201.537
45165.4,43633,216.908
45452.4,43349.5,213.124
45329.1,43489.5,139.545
45387.1,43435.4,117.475
45211.4,43599.9,192.906
45220.4,43593.9,198.004
45227.9,43585.3,218.603
45182.6,43628.4,260.954
45207.7,43604.2,253.922
45303.8,43518.9,143.03
45359.4,43458.3,218.487
45357.1,43470.9,99.1748
45173.5,43633.4,270.995
45407.5,43402.4,253.97
45237.5,43579.2,209.418
