X,Y,Z
45033.2,43542.9,78.2764
45054.1,43521.1,82.5717
45285.7,43264.4,275.911
45263.6,43318.8,65.0589
45367,43199.1,158.949
45444.8,43138.9,67.2264
45014.1,43558.5,118.527
45387.9,43168.3,262.121
45246,43337.5,67.881
45131.8,43429.9,204.598
45136,43423.6,244.446
45090,43478.8,190.307
45432.3,43132.2,210.411
45154.7,43407,248.734
45088.8,43507.3,58.3472
45244.7,43342,50.2373
45417.1,43145.8,258.67
44956.3,43632.2,56.6095
45460.3,43119.4,127.085
44948.8,43633,111.478
45202.9,43398.3,67.1982
45060.8,43529.8,65.7979
45402.1,43172.4,200.841
45382.1,43190.4,216.645
45443.1,43151.6,92.449
45150,43434.3,129.632
45126.8,43453.3,168.316
45059.9,43527.5,133.655
45451.2,43138.3,98.6405
45298.1,43218.9,236.955
44973.8,43564.3,61.5177
45194,43347.6,49.8242
45051.9,43463.3,272.428
45093.9,43440.2,126.508
44933.6,43584.5,226.259
45246.9,43271,238.044
45206.7,43347.7,58.6934
44989.8,43527.1,231.921
45087.4,43442.8,235.36
45181.9,43359.3,99.4952
45078.9,43450.1,179.812
45427.8,43113.9,131.714
45448.9,43071.8,261.967
45129.4,43398.6,228.97
45372.1,43150.9,261.835
45165.6,43378.4,117.103
45433.1,43088.1,259.037
45170.9,43368.6,144.643
45458.9,43059.4,285.115
45171.5,43375.4,58.1427
45152.5,43382.9,172.928
44910.6,43630.1,126.634
44995.4,43550.2,86.5602
44911.1,43614.9,234.865
44930.5,43613.1,90.8758
45434.4,43086.1,281.815
45079.3,43466.5,110.21
45454.7,43075.4,240.648
45454.4,43096.6,81.691
45419.3,43121.7,150.465
45129.9,43411.7,173.921
45410.9,43138.2,198.66
45005.8,43541.4,134.393
44969.8,43571.7,179.519
45103.7,43452.8,54.0522
45105.5,43435.2,203.865
45097.4,43431.8,276.935
45257.3,43297.6,79.0128
44954.4,43582.8,217.158
44987,43541.5,284.81
45133.1,43424.9,50.4101
45161.3,43383.2,178.924
45012.4,43542.3,79.5728
44998.9,43547.9,159.498
45163.7,43393.9,98.0774
45002.1,43559.2,113.889
45147.6,43408.8,105.194
45100.3,43450.2,161.448
45162.5,43398.5,68.5774
45200.2,43358.4,83.9102
45021.4,43496.9,108.319
45034.3,43478.6,118.879
44966.7,43533.6,193.373
45055,43436.3,282.878
45377.6,43122.7,223.313
44915.2,43581.5,269.773
44965.2,43537.9,215.595
45138.4,43381.6,103.542
45428.8,43068.7,250.588
45208.2,43312,70.0487
45004.8,43499.6,246.32
44997.6,43498.6,282.409
44975.8,43536.6,135.06
44959.4,43541.8,239.315
45192.8,43317.7,162.511
45087.6,43414.8,218.067
45167.9,43350.9,145.484
45047.6,43469.5,113.924
45180.2,43318.5,275.556
44986.1,43533.3,112.999
45089.4,43413.1,236.207
45008.5,43520.3,65.635
45127.1,43376.5,270.058
45111.9,43405.5,120.72
45160.3,43347,217.508
44966.5,43554.1,124.137
45446.1,43084.3,68.8574
45280.4,43222,283.866
44999.6,43510.5,223.334
44956.5,43575.5,55.7776
45085,43437.8,130.68
44932.3,43591.5,117.34
45262.8,43268.7,42.561
45182.6,43330.2,214.953
44993.8,43534.2,149.119
45426.2,43095.2,152.845
45443,43075,201.89
45055.4,43468.4,183.075
45182.1,43350.1,81.0347
45207.2,43326.1,84.9857
45176.8,43358.8,55.9988
44949.8,43565.9,254.186
45179.4,43351.7,119.773
45455.6,43063.2,262.801
45411.2,43105.6,257.766
45123.6,43414.4,80.1941
45178.7,43317,54.5998
45452.8,43014.9,260.425
45390.3,43078.1,258.553
45001.3,43467.5,283.402
45399.2,43068.2,277.475
45123.6,43350.5,268.549
45059.2,43444.4,53.6644
44906.1,43566,271.352
45108.7,43375.9,181.811
44995.6,43480.8,227.913
45447.3,43054,63.0206
44991.4,43497.4,160.076
45086.9,43416.3,83.1342
44965.4,43511.3,263.239
45309.3,43159.4,283.951
45381.7,43095.6,284.188
44968.1,43528.4,121.051
45389,43093.2,238.554
45396.3,43078.4,281.712
45181.1,43309.9,166.804
45261.7,43240.9,52.7693
45325.7,43154.9,252.88
45057.6,43441.6,107.711
45146.2,43342.9,186.337
45427.9,43049.7,259.628
45135.1,43342.4,283.853
44980.5,43511.8,160.993
45139.1,43339,264.283
45202.9,43303.1,77.8606
45420.5,43088,54.7915
45033.9,43463.6,119.095
45245,43250.9,163.596
45152.3,43340,214.705
44970,43525.3,168.645
45460.3,43034.9,156.966
44884.1,43606.4,184.83
44949.7,43549.4,141.671
45079.2,43422.9,150.018
45456.3,43037.1,242.25
45104.4,43387.2,260.678
45120.6,43385.7,123.503
45086.9,43400.7,219.582
45242.1,43268.2,67.9278
45088.7,43410,159.057
44927.2,43571.1,157.84
45067.8,43426,206.551
45062.8,43422.8,257.287
45195.2,43301.3,187.941
45131.1,43369.1,154.122
45200.9,43306.1,107.621
45217.3,43296.5,46.4545
45377.2,43112.3,241.145
44946.5,43547.4,235.899
45124.1,43381.3,209.75
45063.4,43437.9,167.72
44883.4,43566.9,230.013
45460.2,43001.4,167.84
44927,43536.1,170.296
45423.6,43039.8,165.282
44853.4,43618.4,97.6326
44928.6,43518.9,282.035
44911,43559.3,100.611
44946.8,43532.1,71.4253
45000.7,43462.4,250.303
45443.1,43019.4,172.92
45081.8,43383.2,191.245
45175.6,43299.6,119.512
45209.3,43243.3,281.432
45124.6,43336.7,246.264
45175.7,43281.2,245.959
45377.4,43080,280.522
45355.8,43100.2,273.556
45030.1,43429.8,272.837
45221.4,43259.5,93.9626
45035.5,43454.8,55.0572
45065.6,43411.8,141.589
44885.6,43586.6,163.638
45027.2,43448.3,162.21
45377.6,43086.6,259.412
45074.6,43412.5,69.1404
45108.3,43362.4,230.36
44993,43486.8,215.185
45123.3,43343.3,208.003
45171.9,43310.9,105.21
44927.4,43537.6,247.212
45096.8,43377.7,226.957
44980.4,43509.9,68.2107
45096.7,43401.3,59.6314
45103.7,43384,65.1069
45084.4,43378.6,268.124
45025.7,43462.6,94.3594
45259.9,43221.7,128.991
44962.6,43513.1,186.398
45052,43428.9,159.114
45182.2,43287.8,235.88
44924,43546.3,234.28
45156.7,43337.3,66.6373
44976.8,43498.2,217.493
45138.1,43343.3,157.493
44842.9,43586.8,276.183
44870.7,43562.2,251.175
45006.1,43449.9,97.4111
45052,43395.7,180.837
44937.6,43507.6,165.731
45266.5,43175.4,223.734
45095,43344.1,224.397
45404.9,43051.1,82.3029
45021.3,43445.5,60.2974
44892.9,43573.2,65.528
45121.9,43340.4,83.5462
45131.5,43307.8,268.553
44852.1,43589.9,216.996
44986.5,43470.4,121.365
45066.5,43394.6,118.431
45042.4,43427.6,90.5634
44992.3,43452.5,246.686
44864.2,43604.3,55.114
44835.5,43607.6,249.143
45436.3,43015.3,203.338
44990.9,43457.7,270.94
44899.2,43554.2,148.661
45051.6,43397,251.519
45218.9,43245.3,68.7201
45238.5,43232.1,61.9619
45366.3,43073.3,285.045
45250.4,43218.5,60.2017
45159.6,43296.6,133.17
44823,43624.1,224.835
44922.2,43541.5,108.472
44925.3,43525.7,198.353
45005.7,43461.2,135.01
45130.4,43343.2,57.7019
45068.6,43399.4,92.9594
45123,43327,263.331
45117.3,43350.2,119.595
45081.9,43361,285.441
44898.3,43545.8,269.743
45432,43014.5,251.038
45039.9,43411,227.365
44927.5,43533,143.35
45032.6,43444.8,85.4092
45022,43428.9,246.85
44888.8,43577.3,100.848
45112,43340.8,262.581
45136.7,43328.2,117.252
45434.3,43035.1,97.2197
45340.1,43104.5,279.922
45028.7,43387,270.393
44840.1,43597.4,86.2189
44896,43525.9,239.119
45234.4,43205.3,84.6589
44963.7,43484.9,52.0115
45133.4,43308.6,95.9767
45178.4,43240.1,261.38
45209.6,43238,52.1976
45164.2,43271.1,144.387
44939.2,43508,45.3929
45202.8,43242.5,102.009
45104.2,43330.8,180.163
45104.4,43330.7,163.337
45114.8,43329.6,69.0016
45173.4,43250.6,222.105
45047.4,43388,145.298
45115.7,43311.3,213.219
45224.1,43227.6,71.3678
45253.9,43189.3,102.587
44932.4,43520.6,65.2406
45135,43298.5,198.283
45195.3,43251.5,70.2347
44878.1,43570.4,56.4462
44947.3,43488.7,184.997
44983.5,43441.4,263.121
45243.7,43198.3,112.513
45428.1,43001.9,232.47
45325,43098.8,275.658
45091.6,43343.6,179.98
45056.9,43390.3,103.51
