X,Y,Z
45227.7,43559.8,123.954
45320.4,43505.5,116.073
45250.7,43544.7,114.339
45319.6,43504.1,121.001
45291.2,43513.4,124.322
45293.2,43518.1,124.542
45411.5,43549,119.351
45412.7,43525.8,122.613
45420.3,43547.6,121.471
45446,43538.8,118.713
45450.3,43479.8,121.652
45453.5,43548.8,121.762
45438.2,43528.5,125.316
45111,43602.6,118.67
45125.6,43634.6,118.32
45183.1,43578.8,120.741
45157,43633.5,122.481
45202.6,43561.1,124.869
45347.5,43584.2,115.789
45345.9,43633.7,124.493
45459.7,43583.1,123.794
45034.9,42915.6,131.522
45034.6,42913.5,135.275
44741.3,43039,130.199
45081.3,43072.6,137.165
45223.6,42982.3,130.31
45223.8,42992.6,130.792
45232.7,42987.4,133.724
45234.3,42992.1,132.959
45233,42984.1,135.264
45395.1,42989.8,135.652
45384.8,42991.5,136.291
45384,43019.8,136.213
44685.7,43091.4,136.033
44880.1,43145.8,133.35
44875.2,43156.5,136.891
45034.7,43142.9,127.223
45041.2,43167.8,127.844
45035.6,43153.9,130.125
45036.6,43152.1,132.748
45036.4,43155.5,132.718
45082.2,43084.1,132.474
44695.2,43264,131.844
44689.2,43224.8,136.493
44984.1,43216,133.706
45055.5,43248.8,127.318
45222.4,43242.1,130.526
45222.9,43251.7,130.419
45203.8,43177.8,133.633
45222,43264.2,135.716
45236.8,43187.4,136.308
44685.4,43295.6,129.563
44690.4,43298.5,133.052
44901.6,43362.2,136.269
45205.6,43292.1,126.714
45189.2,43292.6,126.424
45209.4,43295.4,127.422
45194.2,43297,126.726
45223.9,43275.3,133.15
45226.9,43312.7,132.826
45225.6,43287.6,136.36
45218.2,43302.6,136.768
45217.1,43324.3,136.495
45228,43324.5,135.682
45455.7,43336.7,130.51
44829.4,43404.6,137.21
44890.8,43367.5,132.719
44892.6,43371.9,133.995
45070.4,43366.9,133.936
45105.2,43422.6,134.884
45089.4,43423.8,136.445
45154.5,43462.2,129.97
45185.4,43458.4,136.251
45398.1,43443.4,136.853
45010,43492.4,128.017
44985.9,43502.3,127.395
44975.8,43503.7,127.733
45034.8,43477.6,130.231
45012.4,43557.4,136.754
45054.6,43520.7,126.805
45132.2,43545.2,127.877
45139.2,43545.3,127.031
45114.4,43527.5,135.878
45196.5,43477.7,126.678
45159.3,43505.6,126.751
45210.1,43546.1,130.28
45215.5,43547.9,130.246
45156.3,43467.1,134.574
45430.1,43533,129.324
45333.4,43499.9,133.515
45340.1,43498,136.004
45434.2,43528.3,127.448
45461.8,43477.5,129.889
45442.4,43528.7,130.959
45443.7,43552.5,130.52
45443.6,43530.1,133.268
45447.2,43490.6,136.363
44894.3,43615.5,129.944
44874.6,43565.3,133.295
44885.2,43572.9,133.797
44897.1,43615.6,135.608
44909.2,43630.1,136.157
45124.2,43576.4,127.369
45200.6,43592.1,135.58
45263.2,43606.6,130.887
45278.8,43634.6,137.027
45333.8,43585.2,130.604
45339.3,43616.6,133.987
45341.7,43599.2,136.947
45348.6,43615.6,136.884
45446.7,43574.8,127.965
45444.7,43574,131.136
45443.4,43573.9,134.092
45450.8,43566.8,135.972
45441,43569.8,136.04
45455.7,43574.9,136.395
45448.1,43577.7,136.259
45457.6,43578.6,136.358
45032.5,42895.8,148.64
45093,42952.2,149.675
45202.4,42935.8,148.669
45258.2,42897.5,140.147
45316.7,42925,148.528
45384.7,42882.3,138.966
45365.4,42920.7,139.002
45428.6,42976.9,145.588
45341.3,42977.2,147.82
45444.5,42910.1,140.014
45436.6,42960.5,142.712
45435.2,42966.8,142.399
45434.7,42971.9,145.362
45079.4,43044,145.598
45102.8,43005.8,149.675
45078,43030.7,149.233
45382.6,43014.9,139.392
45429.4,42981.7,145.562
45429.6,42983.9,148.605
45375.9,43012.9,147.958
45432.1,43014.2,145.483
45451.5,43017.6,147.73
44937.4,43103.9,139.508
44874.1,43161.4,142.969
45033.3,43135.5,138.184
45033.6,43142.3,140.114
45031.4,43127.1,143.496
45032.9,43139.4,141.947
44959.6,43087.8,145.269
45033,43123.6,146.165
45030.6,43130.9,147.343
45236.2,43101.2,145.498
45227,43078.9,148.812
45243.4,43117.2,147.433
44729.2,43217.3,145.277
44705.5,43258.8,145.432
44755,43254.2,145.853
44984.1,43209.8,142.029
45231.1,43198.4,145.478
44724.3,43365.7,139.096
44708.7,43362.6,145.706
44898,43338.5,139.282
45097.5,43365.9,142.436
45098.3,43295.6,145.79
45116.9,43359.5,145.913
45121,43359.2,148.27
45218.4,43308.1,139.82
45215.9,43329.8,138.951
45221,43344.4,142.728
45213.1,43336.1,144.514
45214.6,43363.2,145.71
45180.1,43327.2,149.291
45192.8,43337.2,148.61
45182.8,43338.5,149.204
45303.6,43353.8,141.949
45269,43350.1,145.767
45303.5,43360.1,147.805
45395.5,43317.5,142.188
44670.5,43372.1,141.843
44834.5,43401.7,138.45
44839.9,43403.9,143.308
44830.1,43405.1,141.459
44843.9,43405.1,148.576
44933.5,43447.5,145.854
44952,43449.4,149.075
45054.8,43392.2,145.973
45066.6,43388,148.064
45052.3,43397,148.047
45189.1,43415.8,149.401
45261.1,43419,142.785
45292.9,43398.4,145.174
45277.3,43408.1,145.106
45260,43421,144.877
45284.9,43370.3,148.304
45297,43395.9,148.831
45336.1,43401,147.922
45394.7,43445.5,148.14
45055.3,43524.2,139.165
45055.1,43481.5,146.19
45159.3,43472.8,139.917
45234.2,43551.4,142.042
45161.4,43478.7,145.452
45163.1,43480.7,148.524
45330.9,43529.4,139.32
45292.6,43555,139.388
45241.3,43506.7,142.108
45290.6,43556,141.731
45257.4,43478.3,148.798
45267.3,43508.2,149.489
45243.7,43550.7,148.796
45348,43493.3,139.552
45352.8,43492.7,141.982
45358,43491.3,146.035
45454.8,43487.2,142.478
45444.8,43536.2,145.26
44718.1,43588,139.475
44759.9,43579.7,148.344
44884.6,43591.9,142.94
44871.1,43599.1,144.155
44910.1,43619.2,144.962
44888.9,43622.5,148.477
44950.4,43583.1,142.291
45154,43583.4,141.036
45195.7,43563.4,145.674
45221.2,43560.9,147.251
45204.3,43565.6,147.983
45152.5,43600.3,148.055
45299.1,43563.4,139.61
45254.7,43564.6,143.32
45332.9,43577.6,144.82
45255.8,43565.3,148.233
45346,43605.5,139.178
45351.3,43621.7,139.581
45368.6,43576.5,141.306
45336.3,43580.8,145.192
45355.8,43628.6,146.159
45360.7,43634.6,146.008
45371.9,43576.6,147.948
45033,42889.8,154.616
45033.9,42888.3,157.374
45034.7,42886.9,160.467
45092,42944.6,152.112
45093.5,42958.8,152.224
45095.3,42967.1,151.505
45090.8,42940.8,154.209
45088.3,42933.8,157.895
45085.9,42925.5,160.642
45087,42931.9,159.923
45088.5,42942.2,159.936
45199.4,42920.9,154.245
45303,42968.3,154.503
45270.4,42932.8,160.214
45253.7,42975.6,160.483
45098,42981,150.871
45100,42989.4,152.122
45100.7,42994.2,151.397
45104,43009,151.159
45105.1,43016.8,150.756
45106.6,43022.7,150.975
45108.3,43029.8,152.608
45078.7,43030.3,153.525
45112.2,43031.7,154.188
45078.8,43036,154.909
45110.8,43038.4,154.938
45114.5,43044,154.979
45078.7,43033.8,158.1
45057.5,43039.9,157.351
45121.2,43051,157.634
45122.2,43053.9,157.577
45061.8,43031.1,160.86
45117.5,43051.5,160.255
45125.5,43060.5,160.894
45220.2,43068.5,152.159
45231.2,43021.8,153.983
45212.6,43060.8,158.324
45211.8,43058.8,160.432
45330.5,43032.2,154.398
45245.5,42990,157.445
45262.4,42991.1,156.951
45329.5,43030,156.558
45328.2,43035.5,157.759
45333.3,42992.8,160.028
45252.1,43000.3,160.082
45337.3,42983.5,151.071
45339.6,42989.9,151.929
45425.6,43012.3,151.721
45425,43014.6,155.214
45419.5,43027.9,157.154
45430.7,42987.2,151.762
44708.8,43161.7,156.766
45032.7,43116.7,153.833
45031.4,43119.1,159.585
